Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
210	Mx Foil Dark Gray	595D60	Modulex			4	1		
212	Mx Foil Dark Green	006400	Modulex			4			
215	Mx Foil Light Blue	68AECE	Modulex			3			
211	Mx Foil Light Gray	9C9C9C	Modulex			5			
213	Mx Foil Light Green	7DB538	Modulex			3	1		
219	Mx Foil Orange	F7AD63	Modulex			3	1		
217	Mx Foil Red	8B0000	Modulex			3	1		
216	Mx Foil Violet	4B0082	Modulex			3			
218	Mx Foil Yellow	FED557	Modulex			3			
139	Mx Lemon	BDC618	Modulex			22	27		
124	Mx Light Bluish Gray	AfB5C7	Modulex			24	3		
125	Mx Light Gray	9C9C9C	Modulex			65	49		
136	Mx Light Orange	F7AD63	Modulex			17	7		
137	Mx Light Yellow	FFE371	Modulex			21	12		
144	Mx Medium Blue	61AFFF	Modulex			19	7		
138	Mx Ochre Yellow	FED557	Modulex			21	17		
140	Mx Olive Green	7C9051	Modulex			23	21		
135	Mx Orange	F47B30	Modulex			28	25		
145	Mx Pastel Blue	68AECE	Modulex			24	21		
141	Mx Pastel Green	7DB538	Modulex			31	34		
148	Mx Pink	F785B1	Modulex			23	24		
130	Mx Pink Red	F45C40	Modulex			16	7		
129	Mx Red	B52C20	Modulex			28	25		
146	Mx Teal Blue	467083	Modulex			14	16		
134	Mx Terracotta	5C5030	Modulex			31	23		
143	Mx Tile Blue	0057A6	Modulex			86	1		
131	Mx Tile Brown	330000	Modulex			172	1		
127	Mx Tile Gray	6B5A5A	Modulex			227			
147	Mx Violet	BD7D85	Modulex			22	6		
123	Mx White	FFFFFF	Modulex			753	423		
